_id,Source,Source_ID,Location,Artist,Title,Medium,ArtForm,Status,ImageName,ImageURL,ThumbURL,ImageAltText,WARD,WARD_FULLNAME,YEAR_INSTALLED,Description,OwnedBy,CommissionedBy,PublicArtConsultant,ImageOrientation,ExternalLink,ExternalLinkText,geometry
11,Public Art & Monuments Collection - City-Owned,642,Dupont Subway Station,"Baird, Ron",Doors,painted steel,Architectural Element,Existing,doors.jpg,https://www.toronto.ca/ext/pln/publicart/doors.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/doors.jpg,Image of artwork: Doors,11,University-Rosedale,1978,None,None,None,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.406802, 43.674796]]}"
12,Public Art & Monuments Collection - City-Owned,654,Riverdale Park East,"Rosenthal, Joseph",Dr. Sun Yat-Sen,"bronze, masonry",Sculpture,Existing,drsunyatsen.jpg,https://www.toronto.ca/ext/pln/publicart/drsunyatsen.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/drsunyatsen.jpg,Image of artwork: Dr. Sun Yat-Sen,14,Toronto-Danforth,1984,None,None,None,None,portrait,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.353442, 43.667802]]}"
13,Public Art & Monuments Collection - City-Owned,647,Little Norway Park,"Maloff and Ne Chi Zu Works, Georganna",Dreamwork of the Whales,wood,Sculpture,Existing,dreamworkofwhales.jpg,https://www.toronto.ca/ext/pln/publicart/dreamworkofwhales.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/dreamworkofwhales.jpg,Image of artwork: Dreamwork of the Whales,10,Spadina-Fort York,1980,None,None,None,None,portrait,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.398786, 43.635218]]}"
14,Public Art & Monuments Collection - City-Owned,555,Scarborough Civic Centre,"Roller, Peter",Earth and Sky,granite,Sculpture,Existing,earthandsky.jpg,https://www.toronto.ca/ext/pln/publicart/earthandsky.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/earthandsky.jpg,Image of artwork: Earth and Sky,21,Scarborough Centre,1994,None,None,None,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2583, 43.7722]]}"
15,Public Art & Monuments Collection - City-Owned,693,"Queens Park, Queen's Park Crescent East",Sir Thomas Brock,Edward VII,Bronze,Sculpture,Existing,edwardvii.jpg,https://www.toronto.ca/ext/pln/publicart/edwardvii.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/edwardvii.jpg,Image of artwork: Edward VII,11,University-Rosedale,1969,None,None,None,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.392446, 43.664455]]}"
16,Public Art & Monuments Collection - City-Owned,545,"Don Mills Road, Taylor Creek Park","Harding, Noel",Elevated Wetlands,mixed material,Sculpture,Existing,elevated.jpg,https://www.toronto.ca/ext/pln/publicart/elevated.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/elevated.jpg,Image of artwork: Elevated Wetlands,14,Toronto-Danforth,1995,"Elevated Wetlands is a solar-powered, functional sculpture by Toronto artist Noel Harding, which  uses wetland plants and plastic waste to absorb volatile chemicals and filter metal contaminants from the Don River.",None,None,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.333627, 43.702921]]}"
17,Public Art & Monuments Collection - City-Owned,573,34 Parkview Avenue,Randy / Berenicci,Empress Collonettes,copper plate,Architectural Element,Existing,empresscolonettes.jpg,https://www.toronto.ca/ext/pln/publicart/empresscolonettes.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/empresscolonettes.jpg,Image of artwork: Empress Collonettes,18,Willowdale,1998,None,None,None,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.411229, 43.771493]]}"
18,Public Art & Monuments Collection - City-Owned,527,"Bloor Street West and Christie Street, Christie Pits Park","Doyle, Maura",Erratic Bolder,granite,Sculpture,Existing,erraticboulder.jpg,https://www.toronto.ca/ext/pln/publicart/erraticboulder.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/erraticboulder.jpg,Image of artwork: Erratic Bolder,11,University-Rosedale,2004,None,None,None,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.420972, 43.66389]]}"
19,Public Art & Monuments Collection - City-Owned,528,Scarborough Civic Centre,"Karlovs, Janis",Eruption,granite,Sculpture,Existing,eruption.jpg,https://www.toronto.ca/ext/pln/publicart/eruption.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/eruption.jpg,Image of artwork: Eruption,21,Scarborough Centre,1994,None,None,None,None,portrait,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2568, 43.7737]]}"
20,Public Art & Monuments Collection - City-Owned,557,"King Street West and Crawford Street, Massey Harris Park","McCleod, James",Evolution Unrolling,stainless steel,Installation,Existing,evolutionunrolling.jpg,https://www.toronto.ca/ext/pln/publicart/evolutionunrolling.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/evolutionunrolling.jpg,Giant metal pergola is lined with silver discs above a small plaza and gardens,10,Spadina-Fort York,2006,None,None,None,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.413254, 43.641463]]}"
21,Public Art & Monuments Collection - City-Owned,591,339 Queens Quay Boulevard W,"VanderGaast, Yolanda",Fallen Fire Fighters Memorial,"bronze, masonry",Sculpture,Existing,firefighters.jpg,https://www.toronto.ca/ext/pln/publicart/firefighters.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/firefighters.jpg,Image of artwork: Fallen Fire Fighters Memorial,10,Spadina-Fort York,2000,None,None,None,None,landscape,https://www.toronto.ca/city-government/awards-tributes/tributes/toronto-fire-memorial-wall/,External link,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.388366, 43.63757]]}"
22,Public Art & Monuments Collection - City-Owned,528,Scarborough Civic Centre,"Drava, Uga",Fibonacci Cadenza,granite,Sculpture,Existing,fibonnacicadenza.jpg,https://www.toronto.ca/ext/pln/publicart/fibonnacicadenza.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/fibonnacicadenza.jpg,Image of artwork: Fibonacci Cadenza,21,Scarborough Centre,1994,None,None,None,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2578, 43.7716]]}"
23,Public Art & Monuments Collection - City-Owned,568,"Fire Station #33, Ward Island","Peteran, Gordon",Fire and Water,"bronze, gold leaf",Sculpture,Existing,fireandwater.jpg,https://www.toronto.ca/ext/pln/publicart/fireandwater.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/fireandwater.jpg,Image of artwork: Fire and Water,10,Spadina-Fort York,1995,None,None,None,None,portrait,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.35911, 43.625451]]}"
24,Public Art & Monuments Collection - City-Owned,645,Berczy Park,"Besant, Derek",Flatiron Building,epoxy paints on aluminum panels,Painting,Existing,flatiron.jpg,https://www.toronto.ca/ext/pln/publicart/flatiron.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/flatiron.jpg,The Flatiron Mural by Canadian artist Derek Michael Besant is five storeys tall and uses a trompe-l'Åil effect to show windows as if painted on a canvas tacked up on the wide end of the building,13,Toronto Centre,1980,None,None,None,None,portrait,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.37451, 43.648313]]}"
25,Public Art & Monuments Collection - City-Owned,648,Eglinton Avenue and Vesta Drive,Page and Steele Architects,Forest Hill War Memorial,masonry,Sculpture,Existing,foresthillwar.jpg,https://www.toronto.ca/ext/pln/publicart/foresthillwar.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/foresthillwar.jpg,Image of artwork: Forest Hill War Memorial,8,Eglinton-Lawrence,1980,None,None,None,None,portrait,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.420873, 43.701975]]}"
